като;kao;as;som;als;as;kui;kuin;comme;wie;ως;mint;mar;come;kā;kaip;wéi;bħala;jak;como;as;kot;como;som
I;ja;já;jeg;I;I;I;minä;je;ich;εδώ;I;mé;io;es;Aš;ech;I;ja;I;ja;I;I;jag
си;njegov;jeho;hans;zijn;his;tema;hänen;son;seine;του;övé;a;il suo;viņa;jo;sengem;tiegħu;jego;seu;jeho;njegov;su;hans
че;da;že;at;dat;that;et;että;que;dass;ότι;hogy;go;che;ka;kad;datt;li;że;que;že;da;que;att
той;on;se;han;hij;he;ta;hän;il;er;αυτός;ő;sé;lui;viņš;jis;hien;hu;on;ele;sa;je;él;han
е;bio;byl;var;was;was;oli;oli;était;war;ήταν;volt;bhí;era;bija;buvo;war;kien;było;foi;bol;je bil;era;var
за;za;pro;til;voor;for;jaoks;varten;pour;für;για;a;do;per;par;už;fir;għal;dla;para;pre;za;para;för
на;na;na;på;op;on;kohta;päälle;sur;auf;επί;szóló;ar;su;gada;nuo;op;fuq;na;em;na;o;en;på
са;su;jsou;er;zijn;are;on;olemme;sont;sind;είναι;vannak;Tá;sono;ir;yra;sinn;huma;są;são;sú;up;son;är
с;s;s;med;met;with;koos;kanssa;avec;mit;με;-val;le;con;ar;su;mat;ma;zespół;com;s;s;con;med
те;oni;se;de;ze;they;nad;ne;ils;sie;αυτοί;ők;siad;essi;viņi;jie;si;huma;oni;eles;sa;so;ellos;de
бъде;biti;být;være;zijn;be;olema;olla;être;sein;να;lehet;bheith;essere;būt;būti;ginn;jkun;być;ser;byť;biti;ser;vara
в;na;na;på;bij;at;juures;klo;à;bei;σε;meg;ag;a;pie;pradėjo;op;fi;w;em;na;na;en;vid
един;jedan;jeden;en;een;one;üks;yksi;un;ein;ένας;egy;amháin;uno;viens;vienas;eent;wieħed;jeden;uma;jeden;ena;uno;ett
имат;imati;mají;har;hebben;have;olema;olla;avoir;haben;έχω;van;tá;avere;ir;turėti;hunn;jkollhom;mieć;tem;majú;imajo;tener;ha
тази;ovo;tento;dette;deze;this;Selle;tämä;ce;dies;αυτό;ezt;seo;questo;šī;tai;dëst;dan;tego;este;tento;to;este;detta
от;iz;od;fra;van;from;alates;alkaen;à partir de;aus;από;a;ó;da;no;nuo;aus;minn;z;a partir de;od;od;desde;från
от;od strane;od;ved;door;by;poolt;mukaan;par;durch;από;által;ag;da;līdz;pagal;vun;minn;przez;por;od;s;por;genom
